id_campana,fecha,empresa,comunidad_autonoma,sector,canal_marketing,tipo_campana,gasto_campana,ingresos,impresiones,clics,conversiones,responsable,estado_campana
CMP-0054,12/01/2025,Innovatech Solutions,BALEARES,Retail,TV,Lead Generation,1011.36,1877.31,232960.0,8934.0,595.0,cristina ortega,Pausada
CMP-0733,09/10/2023,Kapital Seguros,Andalucía,Educación,Radio,Awareness,21413.4,48686.15,256241.0,8701.0,1906.0,Carlos Ruiz,Pausada
CMP-0413,2023-11-02,Dulcería Real,Castilla y León,Educación,SEO,Lead Generation,18993.59,6646.64,343432.0,14921.0,2874.0,Elena Castro,Cancelada
CMP-0493,14-01-2025,,Extremadura,Deporte,Marketing de Contenidos,Conversión,16327.24,14529.26,65494.0,5100.0,648.0,Diego Romero,Cancelada
CMP-0658,05/06/2023,Yogures La Pradera,Andalucía,Educación,Marketing de Contenidos,Lead Generation,"17.565,66 €",46619.93,397265.0,18669.0,983.0,Javier Torres,Cancelada
CMP-1022,16/06/2024,Bahía Sports,Galicia,Retail,Influencers,Conversión,9038.9,14111.32,422959.0,33201.0,3993.0,David López,Cancelada
CMP-1058,02/04/2023,Dulcería Real,Aragón,Turismo,Prensa,Branding,"16.896,70 €",72137.05,303103.0,18036.0,3383.0,Pablo Navarro,ACTIVA
CMP-1095,14/06/2023,Urbana Inmobiliaria,Galicia,Belleza,Redes Sociales,Branding,11720.92,47184.3,10632.0,788.0,160.0,Marta Sánchez,Pausada
CMP-1043,2023-12-15,Hotel Costa Azul,Andalucía,Inmobiliario,Redes Sociales,Awareness,19730.6,86292.4,484852.0,11950.0,1998.0,ana fernández,Activa
CMP-0983,26/05/2025,Hotel Costa Azul,Islas Baleares,Retail,Radio,Lead Generation,10325.63,22221.66,385360.0,,3748.0,Diego Romero,Finalizada
CMP-0840,04/12/2024,Constructora Levante,,Moda,Marketing de Contenidos,Conversión,,23069.68,489220.0,20179.0,4628.0,Elena Castro,ACTIVA
CMP-0665,04-03-2025,Bahía Sports,La Rioja,Tecnología,Influencers,Conversión,8428.39,5861.76,212079.0,10190.0,2422.0,Miguel Álvarez,activa
CMP-0898,14/12/2023,EcoHogar,Asturias,Finanzas,Email Marketing,Branding,6223.83,9538.48,336838.0,18825.0,,ELENA CASTRO,Cancelada
CMP-0263,08/03/2023,Panadería Trigo Dorado,Madrid,,SEO,Conversión,4762.62,9179.16,248932.0,3812.0,214.0,Paula Serrano,Cancelada
CMP-0688,10/10/2025,Lácteos del Sur,Extremadura,Tecnología,Influencers,Awareness,7450.27,27042.12,412893.0,4636.0,717.0,elena castro,Pausada
CMP-0187,25/09/2023,Constructora Levante,La Rioja,Alimentación,TV,Awareness,15360.81,54876.34,321027.0,2298.0,400.0,Álvaro Gil,Finalizada
CMP-0563,07/03/2024,Joyería Alba,Castilla-La Mancha,Inmobiliario,Marketing de Contenidos,Awareness,8205.44,13440.75,94041.0,7195.0,144.0,Carlos Ruiz,Finalizada
CMP-0474,25/01/2025,Grupo Peralta,Castilla-La Mancha,Educación,Email Marketing,Lead Generation,"24.740,50 €",29240.4,61414.0,313.0,29.0,laura gómez,Pausada
CMP-0284,15-09-2024,Quimera Cosmética,Islas Baleares,Inmobiliario,Redes Sociales,Fidelización,"15.466,19 €",33686.46,108325.0,6078.0,522.0,paula serrano,Pausada
CMP-0535,15/08/2024,Grupo Peralta,La Rioja,Automoción,SEM,Lead Generation,4435.23,15146.27,287118.0,5749.0,720.0,Pablo Navarro,Activa
CMP-0084,23/12/2023,Óptica Visión Plus,Navarra,Salud,Google Ads,Conversión,17796.6,46448.91,152733.0,10973.0,2351.0,Javier Torres,Finalizada
CMP-0264,18/02/2025,Lácteos del Sur,Asturias,Inmobiliario,Marketing de Contenidos,Fidelización,21696.02,87388.64,224662.0,7945.0,159.0,Laura Gómez,Activa
CMP-0055,29/02/2024,Grupo Peralta,Castilla y León,Automoción,Email Marketing,Fidelización,"24.722,76",89133.16,108086.0,1096.0,212.0,Lucía Herrera,activa
CMP-0644,10/04/2025,Solaris Energía,,Belleza,Marketing de Contenidos,Awareness,14387.75,33554.37,180803.0,3449.0,754.0,Ana Fernández,Pausada
CMP-0271,11/08/2024,AutoMotion,,Construcción,Marketing de Contenidos,Fidelización,14369.9,63418.25,277820.0,21958.0,2768.0,Miguel Álvarez,Finalizada
CMP-1080,31/12/2024,Hotel Costa Azul, Murcia,Agricultura,Influencers,Conversión,10080.59,23014.7,204413.0,13299.0,2310.0,Carlos Ruiz,Finalizada
CMP-0114,18/05/2024,Dulcería Real,,Turismo,Radio,Lead Generation,18056.3,27803.23,103360.0,3073.0,310.0,Javier Torres,Cancelada
CMP-0253,18/03/2025,Urbana Inmobiliaria,Aragón,Alimentación,Radio,Fidelización,18870.44,51253.44,47729.0,1033.0,82.0,Sara Molina,Finalizada
CMP-0896,18/11/2025,Bebidas Norte,Castilla-La Mancha,Educación,SEO,fidelizacion,8888.79,33242.33,89001.0,,213.0,ANA FERNÁNDEZ,Cancelada
CMP-0524,24/07/2023,Joyería Alba,Aragón,Belleza,Radio,Awareness,"20.916,90",52420.48,88215.0,5436.0,1065.0,Pablo Navarro,Pausada
CMP-1006,19/04/2025,Innovatech Solutions,Navarra,Educación,GAds,Fidelización,6334.58,3897.37,67312.0,2694.0,314.0,Ana Fernández,Activa
CMP-1123,22/05/2024,Sabores del Mediterráneo,n/a,Inmobiliario,Prensa,Conversión,18871.89,39617.75,177426.0,12855.0,831.0,Cristina Ortega,Cancelada
CMP-0759,01/01/2025,Solaris Energía,Andalucía,Retail,Email Marketing,Awareness,11885.96,5197.44,153289.0,12075.0,1183.0,diego romero,Activa
CMP-0142,05/05/2024,EcoHogar,Region de Murcia,Inmobiliario,Google Ads,Branding,€13040.18,31817.97,392585.0,13497.0,,Álvaro Gil,Finalizada
CMP-0041,24/06/2025,Agrocampo,La Rioja,Alimentación,Redes Sociales,Fidelización,11657.01,6150.9,,8750.0,1676.0,laura gómez,Activa
CMP-0669,15/05/2023,Viñedos del Valle,IB,,TV,Lead Generation,"23.229,44 €",€60431.80,,13039.0,3084.0,Miguel Álvarez,Activa
CMP-0505,14/06/2025,Hotel Costa Azul,comunidad valenciana,,Google Ads,Branding,20965.98,20295.56,169532.0,3438.0,111.0,Cristina Ortega,finalizada
CMP-0171,13/04/2025,,Navarra,Deporte,Influencers,Branding,6881.62,14110.39,338956.0,3964.0,459.0,Elena Castro,Activa
CMP-1059,2024-05-15,,Murcia,Automoción,Google Ads,Fidelización,12973.24,41177.67,131069.0,4927.0,1102.0,Marta Sánchez,Pausada
CMP-1111,27/01/2023,Urbana Inmobiliaria,País Vasco,Hostelería,Email Marketing,Conversión,€4468.16,,309296.0,19187.0,4247.0,Diego Romero,Activa
CMP-0832,17/12/2023,Solaris Energía,Islas Baleares,Alimentación,TV,Awareness,9254.14,2863.75,283940.0,4478.0,752.0,Pablo Navarro,Cancelada
CMP-0431,14/09/2025,TransLogic,Asturias,Moda,Google Ads,Awareness,,43116.93,399128.0,6661.0,,,Pausada
CMP-0217,30/11/2025,Hotel Costa Azul,Galicia,Educación,Influencers,Lead Generation,4887.72,16024.02,414384.0,2293.0,310.0,Cristina Ortega,Cancelada
CMP-0891,23/09/2024,Xtreme Bikes,Castilla y León,Salud,Prensa,Fidelización,18955.4,32748.3,468407.0,3367.0,397.0,Ana Fernández,Finalizada
CMP-0400,22.04.2024,Bebidas Norte,Comunidad de Madrid,Hostelería,TV,FIDELIZACION,€1494.64,5783.81,211097.0,2572.0,489.0,Pablo Navarro,ACTIVA
CMP-0098,23/12/2025,RURAL GOURMET S.L.U.,CV,Agricultura,Email Marketing,Lead Generation,2908.82,"9.924,14 €",125952.0,2920.0,498.0,Pablo Navarro,Pausada
CMP-0632,15/11/2025,Sabores del Mediterráneo,Extremadura,Retail,Prensa,Awareness,10797.81,39795.03,418932.0,3603.0,492.0,diego romero,Activa
CMP-1004,11/08/2023,Constructora Levante,Andalucía,Salud,Email Marketing,Fidelización,10061.71,7445.37,228069.0,10584.0,2557.0,Diego Romero,finalizada
CMP-0858,24/03/2023,Constructora Levante,Castilla-La Mancha,Turismo,SEO,Lead Generation,6072.54,,485100.0,4640.0,979.0,Álvaro Gil,Cancelada
CMP-0755,08/11/2024,Farmacia Central,Aragón,Construcción,Email Marketing,Fidelización,18252.46,34002.3,246352.0,18889.0,1358.0,Paula Serrano,Cancelada
CMP-0579,25/08/2024,Rural Gourmet,Castilla-La Mancha,Construcción,Influencers,Fidelización,18775.04,48773.0,,1195.0,45.0,Ana Fernández,Pausada
CMP-0549,13/01/2024,Xtreme Bikes,Cataluña,Finanzas,SEM,Branding,,1272.72,233294.0,1943.0,115.0,Diego Romero,Pausada
CMP-0737,29/09/2025,Yogures La Pradera,La Rioja,Moda,TV,Conversión,14272.85,16222.49,27235.0,2141.0,344.0,laura gómez,Activa
CMP-0340,15/05/2025,Bahía Sports,Extremadura,Turismo,Redes Sociales,fidelizacion,8572.34,3281.41,171479.0,1338.0,,DIEGO ROMERO,FINALIZADA
CMP-0702,25/02/2025,Grupo Peralta,Andalucía,Construcción,Radio,Lead Generation,12316.98,"27.996,01 €",10669.0,304.0,67.0,Miguel Álvarez,Finalizada
CMP-0961,09/12/2024,Yogures La Pradera,Comunidad Valenciana,Finanzas,Email Marketing,Conversión,618.81,461.48,318967.0,8581.0,2139.0,Laura Gómez,Pausada
CMP-0173,26/02/2023,Óptica Visión Plus,País Vasco,Deporte,Marketing de Contenidos,Conversión,"4.255,14 €",17262.53,393171.0,26466.0,838.0,Cristina Ortega,Activa
CMP-0701,28/07/2024,Fintech Nova,Aragón,Educación,SEO,Conversión,"22.771,62",93152.48,332831.0,24523.0,5969.0,Diego Romero,Finalizada
CMP-0446,12/03/2023,Joyería Alba,,Construcción,GAds,Conversión,20962.97,50296.4,239462.0,3845.0,299.0,SARA MOLINA,Finalizada
CMP-0873,07/10/2024,Colchones Descanso,Andalucía,Automoción,Email Marketing,BRANDING,18980.72,"74.086,79 €",331364.0,18964.0,2802.0,Ana Fernández,Cancelada
CMP-0373,06.11.2023,Muebles Castillo,Región de Murcia,Agricultura,Radio,Lead Generation,"19.665,17",69445.0,404251.0,28632.0,2124.0,Carlos Ruiz,Activa
CMP-1026,01/03/2023,TransLogic,Región de Murcia,Construcción,Influencers,Lead Generation,6697.43,27495.28,28108.0,1425.0,210.0,Paula Serrano,Pausada
CMP-0281,01/08/2024,Xtreme Bikes,C. Valenciana,Deporte,Google Ads,Awareness,950.55,2182.85,,,1609.0,Sara Molina,Finalizada
CMP-0351,24.09.2023,Kapital Seguros,Extremadura,Hostelería,Influencers,Lead Generation,7980.3,5150.28,83244.0,1974.0,357.0,Ana Fernández,Pausada
CMP-1032,14/10/2024,Yogures La Pradera,Asturias,Retail,google ads,Fidelización,"13.553,83",5242.67,378989.0,15103.0,2865.0,Álvaro Gil,Finalizada
CMP-0997,2024-09-02,Agrocampo,murcia,Construcción,Prensa,branding,4010.61,"8.537,98 €",219210.0,9904.0,2455.0,CRISTINA ORTEGA,Finalizada
CMP-0519,21/05/2023,Quimera Cosmética,País Vasco,Finanzas,SEM,Fidelización,24381.6,"96.185,58 €",269703.0,5455.0,578.0,miguel álvarez,Cancelada
CMP-0378,08/04/2025,Farmacia Central,Canarias,Alimentación,Redes Sociales,Lead Generation,19750.87,60014.12,366175.0,11312.0,2317.0,Marta Sánchez,FINALIZADA
CMP-0206,02/08/2025,Hotel Costa Azul,Andalucía,Turismo,google ads,fidelizacion,5019.29,5329.0,419752.0,19957.0,460.0,David López,Terminada
CMP-0447,02.01.2024,EcoHogar,Asturias,Turismo,Email Marketing,Branding,21232.13,89697.64,118502.0,6817.0,154.0,Javier Torres,Pausada
CMP-0018,21/08/2025,Grupo Peralta,Cantabria,Automoción,SEM,Conversión,6816.78,24587.94,57173.0,1926.0,37.0,Sara Molina,Pausada
CMP-0896,18/11/2025,Bebidas Norte,CV,Educación,SEO,fidelizacion,8888.79,33242.33,89001.0,,213.0,ANA FERNÁNDEZ,Cancelada
CMP-0427,21/04/2024,Modaline,Madrid ,Hostelería,GAds,Conversión,8510.61,24304.94,307227.0,11879.0,,Javier Torres,Cancelada
CMP-0831,06/10/2025,Sabores del Mediterráneo,Extremadura,Moda,Google Ads,Lead Generation,"923,09 €",1164.4,393858.0,15251.0,2856.0,Paula Serrano,Finalizada
CMP-0458,16/09/2023,Wellness Center,Castilla-La Mancha,Retail,Influencers,Conversión,14889.29,20667.17,360506.0,15688.0,,Pablo Navarro,Cancelada
CMP-0116,16/07/2024,Xtreme Bikes,Canarias,Retail,Prensa,Lead Generation,"590,15 €",€1496.20,216159.0,1272.0,174.0,Carlos Ruiz,FINALIZADA
CMP-0390,19/10/2023,Rural Gourmet,Castilla y León,Construcción,TV,Fidelización,"7.754,40 €","15.573,42",44492.0,3046.0,396.0,Diego Romero,activa
CMP-0352,04/04/2024,Joyería Alba,Madrid,Finanzas,Marketing de Contenidos,Conversión,€5126.86,"10.463,33",95862.0,3308.0,332.0,David López,activa
CMP-0141,20-12-2024,EcoHogar,comunidad valenciana,Alimentación,SEO,Fidelización,2349.86,1696.49,394998.0,5623.0,1041.0,MIGUEL ÁLVAREZ,Pausada
CMP-0127,29-03-2025,Óptica Visión Plus,Extremadura,Alimentación,redes sociales,Fidelización,4325.19,12427.34,295789.0,23299.0,4021.0,David López,Finalizada
CMP-0591,19/06/2025,Fintech Nova SA,País Vasco,Retail,Marketing de Contenidos,Lead Generation,20914.83,30237.77,104951.0,1918.0,154.0,,Pausada
CMP-0548,26/04/2024,Bebidas Norte,Cantabria,Alimentación,Redes Sociales,Awareness,5427.09,10116.3,,27466.0,511.0,álvaro gil,Cancelada
CMP-0494,27/04/2023,Yogures La Pradera,Castilla y León,Educación,Prensa,Branding,11362.29,45280.05,358355.0,2938.0,,Sara Molina,Cancelada
CMP-0364,05/09/2025,Zapatería Confort,Comunidad Valenciana,Turismo,SEO,FIDELIZACION,15813.08,39590.37,152912.0,6134.0,177.0,Laura Gómez,Cancelada
CMP-0921,11/04/2024,Kapital Seguros,Canarias,Moda,Email Marketing,fidelizacion,,"56.220,64 €",287370.0,7981.0,418.0,paula serrano,Pausada
CMP-0416,04/11/2024,Quimera Cosmética,Cantabria,Finanzas,SEM,BRANDING,5264.27,10216.22,280726.0,9539.0,1182.0,miguel álvarez,Terminada
CMP-0109,15/10/2024,Ferretería Ibérica,Aragón,Salud,SEM,Conversión,"3.675,36",16438.53,123268.0,8158.0,1513.0,sara molina,Finalizada
CMP-0652,12/01/2025,Fintech Nova,La Rioja,,Televisión,Branding,13166.41,8847.91,384152.0,19303.0,2968.0,Ana Fernández,Pausada
CMP-0566,19/07/2024,Nutrisana,Navarra,Finanzas,Google Ads,Awareness,"18.658,08 €",23028.84,39480.0,1165.0,153.0,Carlos Ruiz,Pausada
CMP-0969,22-09-2025,TecnoWave,Canarias,Inmobiliario,Radio,Awareness,4131.78,11410.29,185035.0,12612.0,2470.0,Laura Gómez,Cancelada
CMP-0100,03/09/2024,Constructora Levante,Región de Murcia,Automoción,SEM,Lead Generation,"23.427,90",101699.38,486011.0,12981.0,246.0,Pablo Navarro,Cancelada
CMP-1113,16/02/2024,Farmacia Central,País Vasco,Tecnología,Email Marketing,Awareness,"2.056,81 €",,44751.0,2153.0,148.0,Diego Romero,Activa
CMP-0667,22/01/2024,,La Rioja,,Prensa,Conversión,"20.040,95",53828.6,197022.0,13683.0,3275.0,Cristina Ortega,Finalizada
CMP-0307,29/10/2024,Xtreme Bikes,Aragón,Salud,Google Ads,Conversión,12969.61,"7.750,77 €",123864.0,7321.0,1114.0,sara molina,Cancelada
CMP-0205,18/03/2025,Solaris Energía,Andalucía,Turismo,SEO,Awareness,13927.4,€36647.07,65110.0,529.0,78.0,Álvaro Gil,Finalizada
CMP-0867,23/09/2024,Xtreme Bikes,BALEARES,Automoción,SEM,Lead Generation,"14.197,82 €",,237202.0,7742.0,1736.0,Ana Fernández,Pausada
CMP-0798,24/06/2023,Bahía Sports,Comunidad Valenciana,Inmobiliario,Prensa,Lead Generation,19908.3,,152471.0,9367.0,679.0,LUCÍA HERRERA,Pausada
CMP-0180,03-02-2025,TransLogic,Navarra,,Redes Sociales,Conversión,10204.16,"44.432,76 €",201468.0,1077.0,148.0,Ana Fernández,Pausada
CMP-0362,02/03/2024,Hotel Costa Azul,Asturias,Turismo,Email Marketing,branding,4614.67,€20088.61,,,236.0,Paula Serrano,Activa
CMP-0770,2023-09-06,Kapital Seguros,Castilla y León,Alimentación,SEM,Conversión,24947.55,79945.46,335531.0,3403.0,836.0,Carlos Ruiz,Cancelada
CMP-0697,05/04/2025,Sabores del Mediterráneo,Cantabria,Belleza,Email Marketing,Conversión,11730.63,26263.58,484651.0,31366.0,7429.0,Laura Gómez,Cancelada
CMP-0636,19/06/2025,,MAD,Deporte,SEO,Lead Generation,23420.3,28394.55,186802.0,1316.0,290.0,David López,Activa
CMP-0337,09/02/2025,TecnoWave,Cataluña,Retail,Email Marketing,Fidelización,24769.65,"98.992,60 €",62960.0,2126.0,181.0,Marta Sánchez,Cancelada
CMP-0499,12/04/2025,Solaris Energía,Madrid,Deporte,Email Marketing,Lead Generation,3932.56,8755.33,77825.0,3304.0,,Laura Gómez,Cancelada
